twitter_id,name,created_at,followers_count,text
1441015240259371010,PetinggiDPR,09/23/21,1481,"b""'@jogmfs Ig nya @/se.ha.ti salah satu fg terkenal sii di jogja'"""
1441015259758612486,idntimes,09/23/21,407306,"b""'RT @IDNTimesJogja: Tempat wisata ini terkenal dengan miniatur ikon dunia\xc2\xa0 https://t.co/PrZCn8jwZB'"""
1441015259993567240,JohnKikuk,09/23/21,7724,"b'\'RT @__AnakKolong: Jangan karena onta minum Coca Cola, lalu percaya bahwa onta binatang khas Amerika. . . Jangan karena onta pakai ""blangkon\xe2\x80\xa6\''"
