2021-09-21 23:40:00,"b'Halo semua, aku buka joki tugas, ulangan dan UAS yaa\xf0\x9f\x91\xaf\n\xf0\x9f\x93\x8e Semua Pelajaran SD-Kuliah terutama matematika/mtk, fisika, dan kimia. \n\xf0\x9f\x93\x8e Statistika dan Kalkulus\n\xf0\x9f\x93\x8e Membuat Makalah, Artikel, Poster ataupun Essay\n\xf0\x9f\x93\x8e Menggambar / Melukis\n\xf0\x9f\x93\x8e Joki tulis dan ketik\n\nYuk langsung dm aja\xf0\x9f\x92\x8c'","jokinaya | KIMIA, MTK, FISIKA, KALKULUS, STATISTIK"
2021-09-21 23:39:42,"b'Selamat Pagi Semua, kami open untuk joki tugas ataupun ulangan yaa untuk SMA bisa joki matematika/mtk, kimia, dan fisika. Bisa langsung dm/chat ke WA kami https://t.co/lhdFiG2Uzn \xf0\x9f\x92\x8c\xe2\x9d\xa3\xef\xb8\x8f'","jokinaya | KIMIA, MTK, FISIKA, KALKULUS, STATISTIK"
2021-09-21 23:39:35,b'Joki Tugas Ngerangkum E-Book - PPT \xe2\x9c\x85 https://t.co/5MRWCk6aEI',pomie | akun testi
2021-09-21 23:38:52,"b'@seajarah Haloo! lagi cari joki tugas? kesini aja @AzaleaFdl pengerjaan cepet, v negotiable, free revisi, terpecaya loh\xf0\x9f\x98\x8d testimoni? klik link di bio @AzaleaFdl \nfast respon \xe2\x9e\xa1\xef\xb8\x8f https://t.co/Ez8T2YfQAK'",teh firaa / open jastag jam 5 sore besok!
2021-09-21 23:38:42,"b'hari ini yg mau joki boleh langsung wa ya, fast respon kok ( \xe2\x97\x9c\xe2\x80\xbf\xe2\x97\x9d )\xe2\x99\xa1'",JOKTUL NGERANGKUM
2021-09-21 23:37:57,"b'Mohon maaf jarang buka DM (kadang ga ada notifikasi) kalau ingin tanya-tanya Joki Tugas, Joki tulis dan desain CV atau desain grafis apapun bisa langsung chat https://t.co/6LUr6KjHjT Terimakasih. Semoga harinya menyenangkan\xe2\x9c\xa8'",Joki tugas SD/SMP/SMA/KULIAH (PENDIDIKAN)
2021-09-21 23:37:42,b'Haiii sesama kang joki dan shipper ZhongChi! \xf0\x9f\x91\x80\xe2\x9c\xa8 https://t.co/ARecf7fBqv',Kolling. 📌 JOKI GENSHIN & WRITING COMMISSION
2021-09-21 23:37:15,"b'@tewhpucuk gpp enak. kalo mau joki tugas ga ush nyari"" lagi'",Jole.
2021-09-21 23:36:32,"b'80. Proofreading skripsi bab 4, penomoran halaman dan pembuatan daftar isi otomatis\n\n#KuKerjainAja #jokitugas #jokitugaskuliah #jokitugasbahasainggris #joki #testimoni #proofreading #dafisotomatis https://t.co/0Q82pA6ZAl'",KuKerjainAja JokiTugas + Kursus TOEFL Murah | OPEN
2021-09-21 23:35:57,"b'@joktugfess Haloo! lagi cari joki tugas? kesini aja @AzaleaFdl pengerjaan cepet, v negotiable, free revisi, terpecaya loh\xf0\x9f\x98\x8d testimoni? klik link di bio @AzaleaFdl \nfast respon \xe2\x9e\xa1\xef\xb8\x8f https://t.co/Ez8T2YfQAK'",teh firaa / open jastag jam 5 sore besok!
